Email,Type,Started free trial,Decision maker,Designation,Employee Size,Visited Pricing ,Visited Integrations ,Visited Platform ,Country,Acquisition Source,When do you need to Solution,Sources,Destinations
1897@customer-leads.com,request quote,Yes,No,Cto,9294,Yes,No,Yes,Denmark,Blog - Redshift - X to Y,Immediately,"redshift,s3,tableau",redshift
1898@customer-leads.com,contact us,Yes,Yes,Ceo,9001,Yes,No,No,Japan,Blog - Redshift - Generic,In A Month,"python,chartio,superset","bigquery,s3"
1899@customer-leads.com,request quote,No,No,Ceo,6959,Yes,Yes,No,India,Direct - Home,In A Month,"aurora,s3","bigquery,s3"
1900@customer-leads.com,request quote,Yes,No,Swe,6607,No,Yes,Yes,China,Blog - Redshift - X to Y,This Quarter,"aurora,s3","snowflake,rds,ms_sql"
1901@customer-leads.com,created account ,Yes,No,Swe,9407,Yes,No,Yes,India,Blog - Redshift - Generic,Early Exploration,"mysql,ms_sql","snowflake,rds,ms_sql"
1902@customer-leads.com,request quote,Yes,No,Swe,4010,No,No,Yes,Us,Blog - Redshift - Generic,Early Exploration,"aurora,s3",ms_sql
1903@customer-leads.com,request demo ,No,No,Ceo,4456,No,Yes,Yes,India,Blog - Redshift - X to Y,Early Exploration,"redshift,s3,tableau",redshift
1904@customer-leads.com,request demo ,Yes,No,Product manager,9884,Yes,No,Yes,Denmark,Blog - Redshift - X to Y,Early Exploration,"python,chartio,superset",redshift
1905@customer-leads.com,request quote,Yes,Yes,Tech lead,9199,Yes,Yes,No,Denmark,Blog - Redshift - X to Y,Early Exploration,"redshift,s3,tableau","bigquery,s3"
1906@customer-leads.com,request demo ,Yes,Yes,Tech lead,3634,Yes,Yes,No,Germany,Blog - Redshift - X to Y,Early Exploration,"python,chartio,superset","postgres,s3,ms_sql"
1907@customer-leads.com,created account ,Yes,Yes,Swe,7500,Yes,No,No,Japan,Direct - Home,This Quarter,google_analytics ,redshift
1908@customer-leads.com,contact us,No,No,Product manager,2226,No,No,No,Us,Blog - Redshift - X to Y,Early Exploration,"redshift,s3,tableau","bigquery,s3"
1909@customer-leads.com,request demo ,No,Yes,Business analyst ,416,No,No,No,China,Blog - Redshift - X to Y,Early Exploration,"aurora,s3","bigquery,s3"
1910@customer-leads.com,created account ,No,Yes,Ceo,5430,No,Yes,Yes,India,Ads - ETL Tools,Immediately,"mysql,ms_sql",ms_sql
1911@customer-leads.com,created account ,Yes,Yes,Business analyst ,3575,No,No,Yes,Japan,Blog - Redshift - X to Y,In A Month,google_analytics ,redshift
1912@customer-leads.com,request quote,Yes,No,Ceo,6549,Yes,No,No,Germany,Direct - Home,Immediately,"mysql,ms_sql","snowflake,rds,ms_sql"
1913@customer-leads.com,request quote,No,No,Swe,5480,Yes,Yes,No,China,Direct - Home,Immediately,"aurora,s3","snowflake,rds,ms_sql"
1914@customer-leads.com,request quote,No,No,Tech lead,7229,Yes,No,Yes,India,Blog - Redshift - X to Y,This Quarter,"aurora,s3","postgres,s3,ms_sql"
1915@customer-leads.com,request demo ,Yes,Yes,Ceo,119,Yes,No,Yes,Us,Ads - ETL Tools,Early Exploration,"redshift,s3,tableau",redshift
1916@customer-leads.com,created account ,No,Yes,Ceo,9368,Yes,Yes,Yes,Us,Blog - Redshift - Generic,In A Month,"aurora,s3",redshift
1917@customer-leads.com,request demo ,Yes,Yes,Swe,6059,Yes,No,No,Germany,Blog - Redshift - X to Y,This Quarter,"aurora,s3",ms_sql
1918@customer-leads.com,created account ,Yes,No,Swe,3182,Yes,Yes,Yes,India,Ads - ETL Tools,Early Exploration,"redshift,s3,tableau",redshift
1919@customer-leads.com,request quote,Yes,Yes,Ceo,2177,Yes,No,No,Germany,Blog - Redshift - X to Y,Early Exploration,google_analytics ,redshift
1920@customer-leads.com,contact us,No,Yes,Business analyst ,9743,Yes,No,No,Germany,Ads - ETL Tools,This Quarter,google_analytics ,"postgres,s3,ms_sql"
1921@customer-leads.com,contact us,Yes,Yes,Tech lead,8553,No,Yes,No,China,Blog - Generic,Early Exploration,"python,chartio,superset","postgres,s3,ms_sql"
1922@customer-leads.com,request quote,No,Yes,Swe,6981,No,Yes,Yes,Us,Blog - Redshift - X to Y,In A Month,"mysql,ms_sql","postgres,s3,ms_sql"
1923@customer-leads.com,request quote,Yes,Yes,Business analyst ,5728,No,No,No,India,Blog - Generic,Early Exploration,"python,chartio,superset","bigquery,s3"
1924@customer-leads.com,contact us,No,No,Cto,2588,No,Yes,Yes,Japan,Ads - ETL Tools,Early Exploration,"python,chartio,superset",redshift
1925@customer-leads.com,request demo ,No,No,Swe,1240,Yes,No,No,Denmark,Direct - Home,Early Exploration,"python,chartio,superset","postgres,s3,ms_sql"
1926@customer-leads.com,contact us,No,Yes,Tech lead,1219,No,Yes,Yes,Denmark,Blog - Redshift - Generic,Immediately,"mysql,ms_sql","postgres,s3,ms_sql"
1927@customer-leads.com,created account ,Yes,No,Swe,260,No,Yes,No,Germany,Direct - Home,Early Exploration,"mysql,ms_sql","snowflake,rds,ms_sql"
1928@customer-leads.com,created account ,No,No,Swe,612,Yes,No,Yes,China,Blog - Redshift - X to Y,Immediately,"redshift,s3,tableau","postgres,s3,ms_sql"
1929@customer-leads.com,request quote,No,No,Cto,3662,No,No,No,Germany,Blog - Redshift - X to Y,This Quarter,google_analytics ,redshift
1930@customer-leads.com,contact us,No,No,Ceo,684,No,Yes,Yes,Germany,Ads - ETL Tools,Immediately,"python,chartio,superset","snowflake,rds,ms_sql"
1931@customer-leads.com,request demo ,No,No,Swe,1840,Yes,Yes,Yes,Denmark,Direct - Home,This Quarter,"aurora,s3","postgres,s3,ms_sql"
1932@customer-leads.com,contact us,No,Yes,Tech lead,3425,No,No,No,Japan,Blog - Redshift - X to Y,This Quarter,google_analytics ,"snowflake,rds,ms_sql"
1933@customer-leads.com,request demo ,Yes,No,Cto,310,No,No,No,Japan,Ads - ETL Tools,This Quarter,"mysql,ms_sql","postgres,s3,ms_sql"
1934@customer-leads.com,created account ,No,No,Cto,9127,No,Yes,Yes,India,Blog - Redshift - X to Y,Early Exploration,"python,chartio,superset","bigquery,s3"
1935@customer-leads.com,request quote,No,No,Tech lead,7563,No,Yes,Yes,China,Blog - Redshift - X to Y,Immediately,"mysql,ms_sql","bigquery,s3"
1936@customer-leads.com,request demo ,Yes,Yes,Ceo,4995,Yes,No,Yes,Us,Blog - Redshift - Generic,Immediately,"redshift,s3,tableau",redshift
1937@customer-leads.com,request demo ,Yes,Yes,Tech lead,4445,Yes,No,Yes,China,Blog - Redshift - X to Y,Immediately,"mysql,ms_sql","bigquery,s3"
1938@customer-leads.com,created account ,No,No,Cto,3329,Yes,Yes,No,India,Blog - Redshift - X to Y,This Quarter,"redshift,s3,tableau",ms_sql
1939@customer-leads.com,request quote,Yes,Yes,Business analyst ,9461,Yes,No,No,Germany,Ads - ETL Tools,Early Exploration,"aurora,s3","snowflake,rds,ms_sql"
1940@customer-leads.com,contact us,No,Yes,Swe,7815,Yes,No,No,China,Ads - ETL Tools,This Quarter,"python,chartio,superset","snowflake,rds,ms_sql"
1941@customer-leads.com,contact us,Yes,Yes,Business analyst ,865,Yes,Yes,No,Japan,Blog - Generic,In A Month,"redshift,s3,tableau",redshift
1942@customer-leads.com,request quote,No,Yes,Cto,4813,No,No,Yes,India,Blog - Generic,Early Exploration,"aurora,s3","bigquery,s3"
1943@customer-leads.com,contact us,No,No,Business analyst ,7934,No,Yes,Yes,Germany,Blog - Redshift - Generic,This Quarter,"mysql,ms_sql","postgres,s3,ms_sql"
1944@customer-leads.com,request demo ,No,No,Tech lead,1504,Yes,Yes,Yes,Denmark,Ads - ETL Tools,Early Exploration,"aurora,s3",ms_sql
1945@customer-leads.com,created account ,Yes,Yes,Product manager,6097,Yes,No,Yes,Denmark,Blog - Generic,This Quarter,"mysql,ms_sql","snowflake,rds,ms_sql"
1946@customer-leads.com,request demo ,Yes,No,Product manager,1626,Yes,Yes,Yes,China,Direct - Home,In A Month,"aurora,s3",ms_sql
1947@customer-leads.com,request quote,No,No,Tech lead,25,No,No,Yes,Japan,Blog - Redshift - Generic,This Quarter,"aurora,s3",ms_sql
1948@customer-leads.com,request quote,No,No,Swe,3859,Yes,Yes,No,China,Direct - Home,This Quarter,"aurora,s3","postgres,s3,ms_sql"
1949@customer-leads.com,request demo ,No,No,Ceo,720,Yes,Yes,Yes,Japan,Blog - Redshift - Generic,In A Month,"redshift,s3,tableau",ms_sql
1950@customer-leads.com,created account ,No,No,Product manager,317,No,No,Yes,Denmark,Blog - Generic,In A Month,"python,chartio,superset","postgres,s3,ms_sql"
1951@customer-leads.com,created account ,No,No,Product manager,588,No,No,Yes,China,Blog - Redshift - X to Y,Immediately,"aurora,s3",ms_sql
1952@customer-leads.com,contact us,No,No,Cto,8074,No,Yes,No,China,Blog - Redshift - Generic,This Quarter,"mysql,ms_sql",redshift
1953@customer-leads.com,contact us,Yes,Yes,Product manager,4008,No,Yes,No,Germany,Ads - ETL Tools,In A Month,"redshift,s3,tableau",redshift
1954@customer-leads.com,request quote,Yes,No,Ceo,719,No,Yes,No,China,Ads - ETL Tools,In A Month,"mysql,ms_sql","bigquery,s3"
1955@customer-leads.com,created account ,Yes,Yes,Business analyst ,8700,No,Yes,No,China,Ads - ETL Tools,Immediately,"redshift,s3,tableau",redshift
1956@customer-leads.com,created account ,Yes,No,Ceo,5724,Yes,No,Yes,Japan,Blog - Redshift - Generic,This Quarter,"python,chartio,superset",redshift
1957@customer-leads.com,request quote,No,No,Swe,6858,Yes,Yes,No,Japan,Blog - Redshift - Generic,This Quarter,"aurora,s3","postgres,s3,ms_sql"
1958@customer-leads.com,request demo ,Yes,Yes,Business analyst ,1865,No,No,Yes,Denmark,Ads - ETL Tools,Immediately,"aurora,s3","bigquery,s3"
1959@customer-leads.com,created account ,Yes,Yes,Product manager,4973,No,Yes,No,Japan,Blog - Redshift - X to Y,Immediately,"python,chartio,superset",ms_sql
1960@customer-leads.com,created account ,Yes,No,Business analyst ,3985,Yes,Yes,Yes,India,Blog - Redshift - Generic,In A Month,"mysql,ms_sql","bigquery,s3"
1961@customer-leads.com,created account ,No,No,Product manager,4461,Yes,No,Yes,India,Blog - Redshift - Generic,Immediately,"python,chartio,superset",redshift
1962@customer-leads.com,request demo ,Yes,No,Ceo,6288,Yes,No,No,Germany,Ads - ETL Tools,This Quarter,"aurora,s3","postgres,s3,ms_sql"
1963@customer-leads.com,contact us,Yes,No,Swe,1401,No,Yes,Yes,China,Ads - ETL Tools,Early Exploration,"aurora,s3","snowflake,rds,ms_sql"
1964@customer-leads.com,contact us,No,No,Product manager,8105,Yes,Yes,No,Japan,Blog - Redshift - Generic,Immediately,"aurora,s3",ms_sql
1965@customer-leads.com,created account ,Yes,Yes,Swe,9653,No,Yes,No,Japan,Direct - Home,Early Exploration,"python,chartio,superset",ms_sql
1966@customer-leads.com,request demo ,Yes,No,Cto,4689,No,Yes,Yes,China,Direct - Home,Early Exploration,"redshift,s3,tableau","postgres,s3,ms_sql"
1967@customer-leads.com,request demo ,Yes,No,Swe,5654,No,Yes,No,Denmark,Blog - Redshift - X to Y,Early Exploration,"redshift,s3,tableau","postgres,s3,ms_sql"
1968@customer-leads.com,request quote,No,Yes,Cto,6597,Yes,Yes,Yes,Denmark,Ads - ETL Tools,This Quarter,google_analytics ,redshift
1969@customer-leads.com,request quote,No,Yes,Ceo,9380,Yes,Yes,Yes,Us,Direct - Home,Immediately,"python,chartio,superset",ms_sql
1970@customer-leads.com,request quote,No,No,Tech lead,7861,No,No,No,Denmark,Blog - Redshift - Generic,Immediately,"mysql,ms_sql","bigquery,s3"
1971@customer-leads.com,request demo ,Yes,No,Cto,3831,No,Yes,Yes,India,Blog - Redshift - Generic,Immediately,"mysql,ms_sql",ms_sql
1972@customer-leads.com,created account ,No,Yes,Product manager,3654,No,Yes,No,Denmark,Direct - Home,Early Exploration,"redshift,s3,tableau",redshift
1973@customer-leads.com,request demo ,No,No,Business analyst ,7206,Yes,Yes,Yes,Germany,Ads - ETL Tools,This Quarter,"python,chartio,superset","postgres,s3,ms_sql"
1974@customer-leads.com,created account ,No,No,Tech lead,250,Yes,Yes,No,China,Ads - ETL Tools,This Quarter,google_analytics ,ms_sql
1975@customer-leads.com,request demo ,Yes,Yes,Swe,7088,Yes,Yes,Yes,India,Direct - Home,In A Month,google_analytics ,"snowflake,rds,ms_sql"
1976@customer-leads.com,contact us,No,No,Ceo,651,Yes,No,Yes,Japan,Blog - Redshift - X to Y,Early Exploration,"mysql,ms_sql","bigquery,s3"
1977@customer-leads.com,contact us,No,Yes,Cto,6867,Yes,Yes,No,Germany,Blog - Generic,Early Exploration,"mysql,ms_sql",redshift
1978@customer-leads.com,request demo ,Yes,No,Business analyst ,4254,No,Yes,Yes,China,Direct - Home,Immediately,"aurora,s3",ms_sql
