Email,Type,Started free trial,Decision maker,Designation,Employee Size,Visited Pricing ,Visited Integrations ,Visited Platform ,Country,Acquisition Source,When do you need to Solution,Sources,Destinations,Status
66@customer-leads.com,contact us,Yes,No,Swe,1387,Yes,Yes,No,India,Ads - ETL Tools,This Quarter,"aurora,s3","snowflake,rds,ms_sql",Not Interested
67@customer-leads.com,request quote,Yes,No,Product manager,5226,Yes,Yes,Yes,Denmark,Direct - Home,Immediately,"python,chartio,superset","bigquery,s3",Not Interested
68@customer-leads.com,created account ,Yes,No,Swe,6536,No,No,Yes,China,Direct - Home,This Quarter,"python,chartio,superset","postgres,s3,ms_sql",Not Interested
69@customer-leads.com,request quote,Yes,No,Ceo,664,No,Yes,Yes,Germany,Blog - Generic,In A Month,"aurora,s3","snowflake,rds,ms_sql",Not Interested
70@customer-leads.com,created account ,No,Yes,Swe,6765,No,No,Yes,China,Blog - Redshift - X to Y,This Quarter,google_analytics ,ms_sql,May Consider
71@customer-leads.com,contact us,No,Yes,Tech lead,3349,Yes,Yes,No,Us,Direct - Home,Early Exploration,google_analytics ,ms_sql,May Consider
72@customer-leads.com,contact us,No,No,Swe,7380,No,No,Yes,Denmark,Ads - ETL Tools,Immediately,"mysql,ms_sql",redshift,Not Interested
73@customer-leads.com,created account ,Yes,Yes,Cto,8763,No,Yes,Yes,Germany,Blog - Redshift - Generic,Early Exploration,"mysql,ms_sql","bigquery,s3",Interested
74@customer-leads.com,created account ,Yes,No,Swe,137,Yes,No,Yes,China,Blog - Redshift - X to Y,In A Month,"redshift,s3,tableau","snowflake,rds,ms_sql",Not Interested
75@customer-leads.com,request quote,No,Yes,Business analyst ,5899,No,Yes,Yes,Germany,Blog - Redshift - Generic,Immediately,"mysql,ms_sql",ms_sql,May Consider
76@customer-leads.com,contact us,No,No,Swe,9129,No,No,No,China,Blog - Redshift - Generic,Immediately,"python,chartio,superset","postgres,s3,ms_sql",Not Interested
77@customer-leads.com,created account ,No,Yes,Product manager,9552,No,No,No,Japan,Direct - Home,In A Month,"redshift,s3,tableau","snowflake,rds,ms_sql",May Consider
78@customer-leads.com,created account ,No,Yes,Swe,5442,No,No,Yes,India,Direct - Home,In A Month,"python,chartio,superset",redshift,May Consider
79@customer-leads.com,request quote,No,No,Tech lead,3095,No,No,No,Japan,Blog - Redshift - Generic,This Quarter,"mysql,ms_sql","postgres,s3,ms_sql",Not Interested
80@customer-leads.com,request demo ,Yes,Yes,Product manager,2842,No,Yes,Yes,India,Direct - Home,Immediately,"python,chartio,superset","bigquery,s3",Interested
81@customer-leads.com,created account ,No,No,Tech lead,6887,No,No,Yes,India,Blog - Redshift - Generic,This Quarter,"aurora,s3","postgres,s3,ms_sql",Not Interested
82@customer-leads.com,created account ,Yes,No,Cto,8931,No,Yes,No,India,Ads - ETL Tools,This Quarter,"python,chartio,superset","postgres,s3,ms_sql",Not Interested
83@customer-leads.com,created account ,Yes,No,Ceo,7527,No,Yes,No,Us,Blog - Generic,Immediately,google_analytics ,redshift,Not Interested
84@customer-leads.com,request quote,Yes,Yes,Swe,3436,No,No,Yes,Denmark,Blog - Generic,In A Month,google_analytics ,ms_sql,Interested
85@customer-leads.com,contact us,Yes,Yes,Cto,9995,No,Yes,Yes,India,Ads - ETL Tools,Immediately,"python,chartio,superset","postgres,s3,ms_sql",Interested
86@customer-leads.com,contact us,Yes,Yes,Business analyst ,1320,No,Yes,No,China,Blog - Redshift - Generic,Early Exploration,"aurora,s3","snowflake,rds,ms_sql",Interested
87@customer-leads.com,request demo ,No,Yes,Tech lead,9856,No,No,No,Denmark,Direct - Home,Early Exploration,"python,chartio,superset",ms_sql,May Consider
88@customer-leads.com,created account ,No,Yes,Product manager,5659,Yes,Yes,No,Us,Direct - Home,Early Exploration,"redshift,s3,tableau","postgres,s3,ms_sql",May Consider
89@customer-leads.com,request demo ,Yes,Yes,Ceo,9950,Yes,Yes,Yes,China,Ads - ETL Tools,Early Exploration,"python,chartio,superset","bigquery,s3",Interested
90@customer-leads.com,request demo ,No,No,Tech lead,340,No,No,No,Germany,Blog - Redshift - Generic,In A Month,"redshift,s3,tableau","bigquery,s3",Not Interested
91@customer-leads.com,contact us,No,Yes,Cto,9617,Yes,No,No,Denmark,Blog - Redshift - Generic,This Quarter,"aurora,s3","bigquery,s3",May Consider
92@customer-leads.com,contact us,No,Yes,Tech lead,1826,No,Yes,No,China,Blog - Redshift - Generic,Immediately,google_analytics ,"bigquery,s3",May Consider
93@customer-leads.com,contact us,No,No,Cto,2038,Yes,Yes,No,Germany,Ads - ETL Tools,Early Exploration,"python,chartio,superset","postgres,s3,ms_sql",Not Interested
94@customer-leads.com,request demo ,No,Yes,Business analyst ,161,Yes,No,No,Denmark,Ads - ETL Tools,Immediately,"aurora,s3","bigquery,s3",May Consider
95@customer-leads.com,contact us,Yes,No,Ceo,8717,Yes,Yes,Yes,Japan,Direct - Home,Early Exploration,"aurora,s3",ms_sql,Not Interested
96@customer-leads.com,request quote,Yes,No,Tech lead,9472,No,Yes,No,India,Blog - Generic,In A Month,"mysql,ms_sql","snowflake,rds,ms_sql",Not Interested
97@customer-leads.com,contact us,No,Yes,Cto,9904,Yes,No,Yes,China,Blog - Redshift - X to Y,This Quarter,"aurora,s3","bigquery,s3",May Consider
98@customer-leads.com,created account ,Yes,No,Tech lead,164,Yes,Yes,Yes,China,Direct - Home,This Quarter,"aurora,s3",redshift,Not Interested
99@customer-leads.com,request demo ,Yes,No,Cto,7046,No,Yes,No,Germany,Blog - Redshift - Generic,In A Month,"python,chartio,superset","snowflake,rds,ms_sql",Not Interested
100@customer-leads.com,request demo ,Yes,No,Tech lead,9531,Yes,No,No,Denmark,Direct - Home,In A Month,"python,chartio,superset","bigquery,s3",Not Interested
101@customer-leads.com,request quote,Yes,Yes,Business analyst ,1268,No,Yes,Yes,Us,Blog - Generic,Early Exploration,"aurora,s3","postgres,s3,ms_sql",Interested
102@customer-leads.com,created account ,No,No,Ceo,2442,No,No,No,India,Direct - Home,This Quarter,"python,chartio,superset",redshift,Not Interested
103@customer-leads.com,request quote,Yes,No,Ceo,4904,No,Yes,Yes,Japan,Ads - ETL Tools,Early Exploration,"python,chartio,superset","snowflake,rds,ms_sql",Not Interested
104@customer-leads.com,contact us,No,Yes,Business analyst ,1799,Yes,Yes,Yes,India,Blog - Redshift - X to Y,Early Exploration,"aurora,s3",ms_sql,May Consider
105@customer-leads.com,created account ,No,No,Business analyst ,9450,Yes,Yes,Yes,Japan,Blog - Redshift - Generic,This Quarter,"aurora,s3","snowflake,rds,ms_sql",Not Interested
106@customer-leads.com,created account ,No,No,Swe,3668,Yes,Yes,Yes,India,Blog - Generic,This Quarter,google_analytics ,ms_sql,Not Interested
107@customer-leads.com,request quote,Yes,No,Product manager,4976,Yes,Yes,No,China,Blog - Redshift - Generic,Immediately,google_analytics ,"bigquery,s3",Not Interested
108@customer-leads.com,request demo ,Yes,Yes,Business analyst ,868,No,No,No,Japan,Blog - Redshift - Generic,This Quarter,"aurora,s3","snowflake,rds,ms_sql",Interested
109@customer-leads.com,request demo ,Yes,No,Product manager,8051,No,Yes,No,China,Blog - Redshift - Generic,This Quarter,google_analytics ,"bigquery,s3",Not Interested
110@customer-leads.com,created account ,No,Yes,Tech lead,5510,Yes,No,No,Us,Direct - Home,Early Exploration,"mysql,ms_sql","postgres,s3,ms_sql",May Consider
111@customer-leads.com,request quote,Yes,Yes,Swe,8415,Yes,No,No,India,Blog - Redshift - Generic,Immediately,"python,chartio,superset","snowflake,rds,ms_sql",Interested
112@customer-leads.com,request quote,Yes,Yes,Business analyst ,250,No,Yes,No,Germany,Blog - Generic,Immediately,"aurora,s3","snowflake,rds,ms_sql",Interested
113@customer-leads.com,created account ,No,No,Swe,6134,Yes,Yes,Yes,Germany,Blog - Redshift - Generic,Early Exploration,"python,chartio,superset",redshift,Not Interested
114@customer-leads.com,contact us,No,No,Product manager,3424,Yes,Yes,No,China,Direct - Home,This Quarter,"python,chartio,superset","bigquery,s3",Not Interested
115@customer-leads.com,created account ,No,Yes,Tech lead,9938,Yes,Yes,Yes,Denmark,Direct - Home,Early Exploration,"python,chartio,superset",redshift,May Consider
116@customer-leads.com,created account ,Yes,Yes,Swe,6119,No,Yes,No,India,Ads - ETL Tools,This Quarter,"python,chartio,superset","postgres,s3,ms_sql",Interested
117@customer-leads.com,created account ,No,Yes,Business analyst ,4859,Yes,No,No,India,Blog - Generic,Early Exploration,"redshift,s3,tableau",ms_sql,May Consider
118@customer-leads.com,created account ,Yes,Yes,Swe,7268,Yes,No,No,Denmark,Blog - Redshift - Generic,Immediately,google_analytics ,"postgres,s3,ms_sql",Interested
119@customer-leads.com,request demo ,No,No,Ceo,6543,Yes,Yes,No,Denmark,Ads - ETL Tools,In A Month,"aurora,s3","postgres,s3,ms_sql",Not Interested
120@customer-leads.com,request quote,Yes,No,Product manager,2929,No,No,Yes,China,Blog - Generic,Early Exploration,"redshift,s3,tableau",redshift,Not Interested
121@customer-leads.com,created account ,No,No,Business analyst ,933,Yes,No,Yes,Japan,Blog - Redshift - Generic,Immediately,"python,chartio,superset","postgres,s3,ms_sql",Not Interested
122@customer-leads.com,contact us,No,Yes,Tech lead,9252,Yes,Yes,No,Japan,Direct - Home,Early Exploration,"redshift,s3,tableau","postgres,s3,ms_sql",May Consider
123@customer-leads.com,request demo ,Yes,Yes,Tech lead,6759,Yes,Yes,Yes,China,Ads - ETL Tools,Immediately,"redshift,s3,tableau",ms_sql,Interested
124@customer-leads.com,created account ,Yes,Yes,Product manager,6886,Yes,No,No,Denmark,Blog - Generic,In A Month,"aurora,s3",ms_sql,Interested
125@customer-leads.com,contact us,Yes,Yes,Tech lead,6558,Yes,No,Yes,Germany,Blog - Redshift - Generic,This Quarter,"python,chartio,superset","snowflake,rds,ms_sql",Interested
126@customer-leads.com,created account ,No,No,Tech lead,8503,Yes,Yes,No,Denmark,Blog - Redshift - Generic,In A Month,"aurora,s3",redshift,Not Interested
127@customer-leads.com,request demo ,No,No,Cto,42,Yes,No,Yes,India,Direct - Home,In A Month,google_analytics ,"snowflake,rds,ms_sql",Not Interested
128@customer-leads.com,created account ,Yes,No,Business analyst ,4541,Yes,No,Yes,Japan,Blog - Generic,Early Exploration,"python,chartio,superset",redshift,Not Interested
129@customer-leads.com,request quote,Yes,No,Ceo,4745,Yes,Yes,Yes,Denmark,Blog - Redshift - Generic,This Quarter,"redshift,s3,tableau",ms_sql,Not Interested
130@customer-leads.com,contact us,No,Yes,Tech lead,6308,Yes,No,No,Germany,Blog - Redshift - Generic,In A Month,google_analytics ,ms_sql,May Consider
131@customer-leads.com,contact us,No,No,Product manager,1388,No,Yes,Yes,Japan,Direct - Home,This Quarter,"aurora,s3","snowflake,rds,ms_sql",Not Interested
132@customer-leads.com,created account ,Yes,No,Tech lead,2733,No,Yes,Yes,Japan,Blog - Redshift - X to Y,Early Exploration,"aurora,s3","bigquery,s3",Not Interested
133@customer-leads.com,contact us,Yes,No,Product manager,4532,No,Yes,Yes,India,Blog - Redshift - X to Y,In A Month,"python,chartio,superset",ms_sql,Not Interested
134@customer-leads.com,created account ,Yes,Yes,Tech lead,5156,Yes,Yes,No,Germany,Ads - ETL Tools,In A Month,"mysql,ms_sql","snowflake,rds,ms_sql",Interested
135@customer-leads.com,contact us,Yes,Yes,Product manager,7965,Yes,Yes,No,Germany,Direct - Home,Early Exploration,"aurora,s3","bigquery,s3",Interested
136@customer-leads.com,request demo ,Yes,Yes,Tech lead,1749,No,No,No,Germany,Direct - Home,In A Month,google_analytics ,"snowflake,rds,ms_sql",Interested
137@customer-leads.com,created account ,Yes,Yes,Swe,3626,No,Yes,No,Japan,Blog - Redshift - Generic,This Quarter,google_analytics ,ms_sql,Interested
138@customer-leads.com,request demo ,No,No,Product manager,8826,No,Yes,No,India,Direct - Home,In A Month,"mysql,ms_sql",ms_sql,Not Interested
139@customer-leads.com,contact us,No,Yes,Swe,343,No,Yes,No,Us,Direct - Home,Immediately,google_analytics ,"snowflake,rds,ms_sql",May Consider
140@customer-leads.com,request quote,No,No,Tech lead,4112,Yes,No,No,Japan,Ads - ETL Tools,In A Month,google_analytics ,"snowflake,rds,ms_sql",Not Interested
141@customer-leads.com,request quote,Yes,Yes,Cto,7703,No,Yes,Yes,Denmark,Direct - Home,This Quarter,"aurora,s3","snowflake,rds,ms_sql",Interested
142@customer-leads.com,created account ,No,Yes,Swe,3269,Yes,Yes,Yes,Germany,Direct - Home,Early Exploration,"mysql,ms_sql","snowflake,rds,ms_sql",May Consider
143@customer-leads.com,contact us,Yes,Yes,Product manager,7165,No,No,Yes,Us,Ads - ETL Tools,Early Exploration,"python,chartio,superset","bigquery,s3",Interested
144@customer-leads.com,request demo ,Yes,Yes,Ceo,8410,Yes,No,No,Us,Blog - Generic,In A Month,"redshift,s3,tableau",redshift,Interested
145@customer-leads.com,request demo ,Yes,Yes,Ceo,9220,No,Yes,Yes,India,Blog - Redshift - Generic,In A Month,google_analytics ,redshift,Interested
146@customer-leads.com,request quote,No,No,Cto,7030,Yes,No,No,Us,Ads - ETL Tools,Immediately,"python,chartio,superset",redshift,Not Interested
147@customer-leads.com,created account ,Yes,Yes,Swe,8843,No,Yes,Yes,India,Blog - Generic,Immediately,google_analytics ,ms_sql,Interested
148@customer-leads.com,created account ,No,No,Tech lead,9518,No,Yes,No,India,Blog - Redshift - X to Y,Immediately,"python,chartio,superset","snowflake,rds,ms_sql",Not Interested
149@customer-leads.com,request quote,No,No,Ceo,6198,No,No,Yes,Us,Blog - Generic,Immediately,"aurora,s3","bigquery,s3",Not Interested
150@customer-leads.com,request quote,Yes,No,Tech lead,9683,No,No,No,China,Blog - Generic,In A Month,"mysql,ms_sql","postgres,s3,ms_sql",Not Interested
151@customer-leads.com,request quote,Yes,No,Business analyst ,6947,No,No,Yes,Germany,Blog - Redshift - X to Y,Early Exploration,"mysql,ms_sql",redshift,Not Interested
152@customer-leads.com,contact us,No,Yes,Tech lead,466,No,No,No,India,Direct - Home,This Quarter,"python,chartio,superset",redshift,May Consider
153@customer-leads.com,contact us,No,No,Swe,766,No,Yes,No,Us,Blog - Redshift - X to Y,In A Month,"mysql,ms_sql",ms_sql,Not Interested
154@customer-leads.com,request demo ,Yes,Yes,Cto,8644,No,Yes,Yes,Germany,Direct - Home,Early Exploration,google_analytics ,ms_sql,Interested
155@customer-leads.com,contact us,No,Yes,Product manager,7581,Yes,No,Yes,China,Blog - Redshift - X to Y,Early Exploration,"aurora,s3",ms_sql,May Consider
156@customer-leads.com,contact us,Yes,No,Tech lead,3691,Yes,Yes,No,Germany,Blog - Redshift - Generic,This Quarter,google_analytics ,"postgres,s3,ms_sql",Not Interested
157@customer-leads.com,contact us,Yes,No,Tech lead,5966,No,No,Yes,Germany,Direct - Home,In A Month,"python,chartio,superset","postgres,s3,ms_sql",Not Interested
158@customer-leads.com,request demo ,Yes,Yes,Tech lead,9834,Yes,Yes,No,Japan,Blog - Generic,In A Month,"aurora,s3","snowflake,rds,ms_sql",Interested
159@customer-leads.com,contact us,No,No,Product manager,2144,No,No,Yes,Denmark,Blog - Generic,In A Month,google_analytics ,"bigquery,s3",Not Interested
160@customer-leads.com,request demo ,No,Yes,Ceo,7767,No,Yes,Yes,China,Ads - ETL Tools,In A Month,"mysql,ms_sql","bigquery,s3",May Consider
161@customer-leads.com,contact us,Yes,No,Product manager,7717,Yes,Yes,No,India,Blog - Generic,Early Exploration,"mysql,ms_sql",ms_sql,Not Interested
162@customer-leads.com,contact us,Yes,No,Product manager,1050,No,No,Yes,China,Blog - Generic,In A Month,"mysql,ms_sql","bigquery,s3",Not Interested
163@customer-leads.com,created account ,Yes,Yes,Swe,8712,No,No,No,China,Direct - Home,In A Month,"mysql,ms_sql",redshift,Interested
164@customer-leads.com,contact us,Yes,No,Business analyst ,5864,Yes,Yes,Yes,India,Blog - Generic,In A Month,"python,chartio,superset",ms_sql,Not Interested
165@customer-leads.com,contact us,Yes,No,Tech lead,3058,No,No,Yes,China,Direct - Home,Immediately,"python,chartio,superset","postgres,s3,ms_sql",Not Interested
166@customer-leads.com,contact us,No,No,Product manager,394,No,No,No,India,Blog - Generic,In A Month,"aurora,s3",ms_sql,Not Interested
167@customer-leads.com,contact us,No,No,Tech lead,898,No,No,Yes,Germany,Ads - ETL Tools,Early Exploration,"aurora,s3","bigquery,s3",Not Interested
168@customer-leads.com,created account ,Yes,Yes,Tech lead,1021,No,No,Yes,Japan,Blog - Generic,Immediately,"aurora,s3","snowflake,rds,ms_sql",Interested
169@customer-leads.com,request quote,Yes,No,Cto,6159,Yes,Yes,No,China,Blog - Redshift - Generic,This Quarter,"python,chartio,superset",ms_sql,Not Interested
170@customer-leads.com,request quote,Yes,No,Ceo,1990,No,No,Yes,India,Ads - ETL Tools,Immediately,"mysql,ms_sql",redshift,Not Interested
171@customer-leads.com,created account ,Yes,Yes,Tech lead,3466,No,Yes,Yes,Us,Blog - Generic,This Quarter,"redshift,s3,tableau","snowflake,rds,ms_sql",Interested
